DOY,lon,lat,temp,rcp26,rcp85,rcp26Smoothed,rcp85Smoothed,rcp26added,rcp85added
105,-114.2879028,63.39672852,-10.2989539,0.96791023,5.85799551,1.081072617,6.122946043,-9.217881283,-4.176007857
106,-114.2879028,63.39672852,-10.12382497,0.96791023,5.85799551,1.039934381,6.079040478,-9.083890594,-4.044784497
107,-114.2879028,63.39672852,-9.933837586,0.96791023,5.85799551,1.075578953,6.101111358,-8.858258633,-3.832726228
108,-114.2879028,63.39672852,-9.743850197,0.96791023,5.85799551,1.111223524,6.123182238,-8.632626673,-3.620667959
109,-114.2879028,63.39672852,-9.553862808,0.96791023,5.85799551,1.146868096,6.145253117,-8.406994712,-3.408609691
110,-114.2879028,63.39672852,-9.363875419,0.96791023,5.85799551,1.182512667,6.167323997,-8.181362752,-3.196551422
111,-113.6584015,63.42308044,-9.17388803,0.96791023,5.85799551,1.218157239,6.189394877,-7.955730791,-2.984493153
112,-113.6584015,63.42308044,-8.983900641,0.96791023,5.85799551,1.25380181,6.211465757,-7.730098831,-2.772434885
113,-113.6584015,63.42308044,-8.793913252,0.96791023,5.85799551,1.289446382,6.233536636,-7.50446687,-2.560376616
114,-113.0792999,63.72888947,-8.603925863,1.196047902,6.024641514,1.325090953,6.255607516,-7.27883491,-2.348318347
115,-113.0792999,63.72888947,-8.413938474,1.196047902,6.024641514,1.360735525,6.277678396,-7.053202949,-2.136260078
116,-113.0792999,63.72888947,-8.223951085,1.196047902,6.024641514,1.396380096,6.299749275,-6.827570989,-1.92420181
117,-113.1315002,64.01030731,-8.008501225,1.196047902,6.024641514,1.443297578,6.343851793,-6.565203647,-1.664649432
118,-113.1315002,64.01030731,-7.793051365,1.196047902,6.024641514,1.49021506,6.38795431,-6.302836305,-1.405097055
119,-113.1315002,64.01030731,-7.577601505,1.196047902,6.024641514,1.537132542,6.432056828,-6.040468963,-1.145544677
120,-112.5370026,64.31334686,-7.362151645,1.196047902,6.024641514,1.584050024,6.476159345,-5.778101621,-0.8859923
121,-112.5370026,64.31334686,-7.146701785,1.196047902,6.024641514,1.630967506,6.520261863,-5.515734279,-0.626439922
122,-112.5370026,64.31334686,-6.931251925,2.225637674,6.666966915,1.677884988,6.56436438,-5.253366937,-0.366887545
123,-111.9313965,64.61380005,-6.715802065,2.461041927,7.108729362,1.72480247,6.608466898,-4.990999595,-0.107335167
124,-111.9313965,64.61380005,-6.500352205,2.461041927,7.108729362,1.771719952,6.652569415,-4.728632252,0.15221721
125,-111.9313965,64.61380005,-6.284902345,2.461041927,7.108729362,1.818637434,6.696671933,-4.46626491,0.411769588
126,-111.2764969,64.63110352,-6.069452485,2.487787724,7.192307472,1.865554916,6.74077445,-4.203897568,0.671321965
127,-111.2764969,64.63110352,-5.807726314,2.487787724,7.192307472,1.916574727,6.780719904,-3.891151587,0.97299359
