range,x,y
Spring,215.5,366.3333333
Spring,218.5,367.8333333
Spring,220.5,178.5
Spring,221.5,369.6666667
Spring,223.5,178.5
Spring,224.5,371.6666667
Spring,226.5,178.5
Spring,227.5,373.6666667
Spring,229.5,178.5
Spring,230.5,375.5
Spring,232.5,178.5
Spring,233.5,377.5
Spring,235.5,178.5
Spring,236.5,379.5
Spring,238.5,178.5
Spring,239.5,381.5
Spring,241.5,178.1666667
Spring,242.5,383.5
Spring,244.5,178
Spring,245.5,385
Spring,247.5,177.1666667
Spring,248.5,386.8333333
Spring,250.5,176.1666667
Spring,251.5,388.5
Spring,253.5,174.5
Spring,254.5,390
Spring,256.5,172.5
Spring,257.5,391.6666667
Spring,259.3,170.5
Spring,260.5,392.8333333
Spring,262.5,166.8333333
Spring,263.5,394.1666667
Spring,264.5,164.25
Spring,266.5,160.75
Spring,266.5,395.5
Spring,268.5,156.75
Spring,269.5,396.8333333
Spring,270.1666667,153
Spring,272.1666667,148
Spring,271.5,151
Spring,272.5,397.8333333
Spring,274.5,142.625
Spring,273.5,146
Spring,275.5,399
Spring,276.5,138.75
Spring,277.5,134.8333333
Spring,278.5,131.5
Spring,278.5,399.8333333
Spring,280.5,125.625
Spring,279.5,129.5
Spring,281.5,400.8333333
Spring,282.5,121.5
Spring,284.5,117
Spring,284.5,401.3333333
Spring,285.5,113.1666667
Spring,286.5,110.1666667
Spring,287,107.5
Spring,287.5,401.5
Spring,288.1666667,104
Spring,290.1666667,99
Spring,289.5,102
Spring,292.1666667,94
Spring,291.5,97
Spring,292.5,403
Spring,294,89.5
Spring,293.5,92
Spring,295,86.5
Spring,295.5,403
Spring,296.5,82.75
Spring,298.5,78.625
Spring,298.5,403.3333333
Spring,300.5,74.5
Spring,301.5,403.8333333
Spring,302.5,70.5
Spring,304.5,404.5
Spring,305.25,67.375
Spring,306.5,63.83333333
Spring,307.5,404.5
Spring,308.5,60.83333333
Spring,310.5,58
Spring,310.5,404.5
Spring,313.3,54.5
Spring,313.5,403.5
Spring,316.5,50.5
Spring,316.5,403.3333333
Spring,319.1666667,47.83333333
Spring,319.5,403
Spring,321.5,44.5
Spring,322.5,403
Spring,324.5,41.5
Spring,327.5,38.5
Spring,327.5,401.5
Spring,330.5,35.5
Spring,330.5,401.1666667
Spring,333.5,32.83333333
Spring,333.5,400.6666667
Spring,336.5,30.5
Spring,336.5,399.8333333
Spring,339.5,28.33333333
Spring,339.5,400.1666667
Spring,342.5,26
Spring,342.5,401
Spring,345.5,24.5
Spring,345.5,402.5
Spring,347.5,406.25
Spring,348.5,22.83333333
Spring,349.5,409.75
Spring,351.5,21.33333333
Spring,351.5,413.625
Spring,353.5,416.875
Spring,354.5,19.33333333
Spring,355.5,420.25
Spring,357.5,18.16666667
Spring,357.5,423.5
Spring,359.5,426.75
Spring,360.5,16.66666667
Spring,362.5,429.5
Spring,363.5,15.33333333
Spring,365.5,432.5
Spring,366.5,14.83333333
Spring,368.5,435.5
Spring,369.5,13.83333333
Spring,371.5,437.3333333
Spring,372.5,13.16666667
Spring,374.5,439
Spring,375.5,13
Spring,377.5,440.5
Spring,378.5,13
Spring,380.5,441.6666667
Spring,380.5,13
Spring,383.5,442.5
Spring,386.5,443.5
Spring,389.5,444
Spring,392.5,444
Spring,394,11.5
Spring,395.5,444.1666667
Spring,398.5,444.1666667
Spring,401,13
Spring,401.5,444
Spring,404.5,13
Spring,404.5,443.5
Spring,407.5,13
Spring,407.5,442.5
Spring,410.5,13.16666667
Spring,410.5,442
Spring,413.5,14.16666667
Spring,413.5,440.6666667
Spring,416.5,15.16666667
Spring,416.5,439.5
Spring,419.5,16
Spring,419.5,438
Spring,422.5,17.5
Spring,422.5,436.5
Spring,425.5,18.83333333
Spring,425.5,434.5
Spring,428.5,20.5
Spring,428.5,431.5
Spring,431.5,22.5
Spring,431.5,429.3333333
Spring,434.5,24.83333333
Spring,434.3,426.7
Spring,436.5,423.25
Spring,437.5,26.5
Spring,438.5,420.1666667
Spring,439.5,416.8333333
Spring,440.25,29.75
Spring,440.1666667,374.1666667
Spring,440,378
Spring,440,381
Spring,440,384
Spring,440,387
Spring,440,390
Spring,440,392.75
Spring,440.5,413.5
Spring,441.75,32.25
Spring,441.5,369.25
Spring,441.1666667,396.8333333
Spring,441,400.5
Spring,441,410.5
Spring,442.1666667,404.1666667
Spring,442,407.75
Spring,444.5,33.5
Spring,444.5,365.6666667
Spring,446.5,36.5
Spring,446.7,233.1
Spring,446.5,237.1666667
Spring,446.5,240
Spring,446.5,279.5
Spring,446.5,282.5
Spring,446.5,285.5
Spring,446.5,288.5
Spring,446.5,291.5
Spring,446.5,294.3333333
Spring,447.5,219.3333333
Spring,447,222.5
Spring,447,225.5
Spring,447,228.5
Spring,447,243.5
Spring,447,246.5
Spring,447,249.5
Spring,447,252.5
Spring,447,255.5
Spring,447,258.5
Spring,447,261.5
Spring,447,264.5
Spring,447,267.5
Spring,447,270.5
Spring,447,273.5
Spring,447,276.5
Spring,447,297.5
Spring,447,300.5
Spring,447,303.5
Spring,447.5,306.8333333
Spring,447.5,363.3333333
Spring,448.5,39.375
Spring,448.5,212.8333333
Spring,448,216.5
Spring,448,310
Spring,448,313
Spring,449,209.5
Spring,449,317.25
Spring,450.5,42.375
Spring,450.5,204.8333333
Spring,450.5,321.75
Spring,450.5,361.1666667
Spring,451.5,201.5
Spring,450.5,208
Spring,451.5,326
Spring,452.5,44.625
Spring,452.5,198.1666667
Spring,453.5,194.8333333
Spring,453.5,328.8333333
Spring,453.5,361.6666667
Spring,454,47.25
Spring,454.5,191.5
Spring,455.5,50.75
Spring,455,188.5
Spring,456,185.5
Spring,456.5,331.1666667
Spring,456.5,362.5
Spring,457.5,54.75
Spring,457,182.5
Spring,458,179.5
Spring,458.5,333.1666667
Spring,459,58.5
Spring,459,176.5
Spring,459.5,363.3333333
Spring,459.8333333,62.16666667
Spring,460.5,172.8333333
Spring,460.8333333,65.16666667
Spring,461.5,169.5
Spring,461.5,335
Spring,462,67.5
Spring,462.5,70.66666667
Spring,462.5,166
Spring,462.5,364.5
Spring,463.5,74.5
Spring,463,76.75
Spring,463,163
Spring,464.1666667,80.16666667
Spring,464.5,84.16666667
Spring,464.5,159.25
Spring,464.5,336
Spring,465,87.5
Spring,465,90.25
Spring,465,155.5
Spring,465.5,365.6666667
Spring,466.1666667,93.83333333
Spring,466,97.5
Spring,466,100.5
Spring,466.5,148.8333333
Spring,466,152.5
Spring,467.1666667,104.1666667
Spring,467,108
Spring,467,111
Spring,467.5,113.6666667
Spring,467.1666667,143.1666667
Spring,466.5,146.5
Spring,467.5,336.8333333
Spring,468.1666667,117.8333333
Spring,468,121.5
Spring,468,124.5
Spring,468,127.5
Spring,468,130.5
Spring,468,133.5
Spring,468,136.5
Spring,468,139
Spring,468.5,366
Spring,470.5,338.3333333
Spring,471.5,365.8333333
Spring,473.5,339.8333333
Spring,474.5,365
Spring,476.5,341.5
Spring,477.5,363.875
Spring,479,343.5
Spring,479,346
Spring,479.5,360.6666667
Spring,480,357.5
Spring,481,348.5
Spring,481,351.5
Spring,481,354.5
Spring,384.2417437,12.19815059
Spring,386.9524439,11.52047556
Spring,390.340819,12.19815059
Spring,398.4729194,12.19815059
Spring,202.6248349,179.5838838
Spring,206.01321,179.5838838
Spring,210.0792602,178.9062087
Spring,212.1122853,178.2285337
Spring,214.8229855,178.9062087
Spring,217.5336856,178.9062087
Winter,13.16666667,270
Winter,12.5,273.5
Winter,12.5,276.5
Winter,12.5,279.5
Winter,13,283
Winter,12.83333333,286.5
Winter,14.5,264.75
Winter,14,290
Winter,15.5,293.1666667
Winter,16.5,260.8333333
Winter,15.5,295
Winter,17,297.5
Winter,18.16666667,257.8333333
Winter,18,300.25
Winter,19.16666667,303.5
Winter,20,255.25
Winter,20.83333333,306.8333333
Winter,22.5,252.5
Winter,22.5,310.5
Winter,24.5,314.5
Winter,25.5,248.5
Winter,26.5,318.5
Winter,28.5,245.8333333
Winter,28.5,322.5
Winter,30,325.5
Winter,31.5,243.3333333
Winter,31,328.5
Winter,32,331.5
Winter,32.83333333,335.5
Winter,34.5,241.1666667
Winter,33.83333333,339.5
Winter,35,342.25
Winter,36,344.5
Winter,37.5,239
Winter,39.5,347.3333333
Winter,40.5,237.3333333
Winter,41.5,350.125
Winter,43.5,236
Winter,46.5,351.6666667
Winter,47.5,234.5
Winter,49.5,351.5
Winter,50.5,233.5
Winter,52.5,351.6666667
Winter,53.5,232.5
Winter,55.5,351.5
Winter,56.5,231.1666667
Winter,58.5,351
Winter,59.5,230.1666667
Winter,61.5,349.8333333
Winter,62,229.75
Winter,64.5,348.6666667
Winter,67.5,228.1666667
Winter,67.5,347.1666667
Winter,70.5,227.3333333
Winter,73.5,226.8333333
Winter,73.5,345.3333333
Winter,76.5,226.1666667
Winter,76.5,344.3333333
Winter,79.5,225.8333333
Winter,79.5,342.5
Winter,82.5,225.3333333
Winter,82.5,340.6666667
Winter,85.5,225.1666667
Winter,85.5,339.6666667
Winter,88.5,225
Winter,88.5,338.6666667
Winter,91.5,225
Winter,91.5,337.5
Winter,94.5,224.5
Winter,94.5,336.5
Winter,97.5,224.5
Winter,97.5,335.8333333
Winter,100.5,224
Winter,100.5,335
Winter,103.5,224.1666667
Winter,103.5,334.1666667
Winter,106.5,224.1666667
Winter,106.5,333.8333333
Winter,109.5,224.1666667
Winter,109.5,333.1666667
Winter,112.5,224
Winter,112.5,332.6666667
Winter,115.5,223.8333333
Winter,115.5,332.5
Winter,118.5,223.5
Winter,118.5,332.5
Winter,121.5,222.8333333
Winter,121.5,332.8333333
Winter,124.5,222.1666667
Winter,124.5,333.5
Winter,127.5,221.3333333
Winter,127.5,334.1666667
Winter,130.5,220.5
Winter,130.5,335.1666667
Winter,133.5,219.1666667
Winter,133.5,336.6666667
Winter,136.5,217.6666667
Winter,136.5,338.3333333
Winter,139.5,216.3333333
Winter,139.5,339.6666667
Winter,142.5,214.6666667
Winter,142.5,341
Winter,145.5,213.1666667
Winter,145.5,342.6666667
Winter,148.5,211.3333333
Winter,148.5,344.1666667
Winter,151.5,209.6666667
Winter,151.5,345.1666667
Winter,154.5,208
Winter,153.5,345.5
Winter,157.5,206.1666667
Winter,157.5,347
Winter,160.5,204.3333333
Winter,160.5,348.3333333
Winter,163.5,202.8333333
Winter,163.5,349.6666667
Winter,166.5,201.5
Winter,166.5,350.8333333
Winter,169.5,200.3333333
Winter,169.5,352.3333333
Winter,172.5,198.5
Winter,172.5,353.6666667
Winter,175.5,197.3333333
Winter,175.5,355.3333333
Winter,178.5,195.6666667
Winter,178.5,357.1666667
Winter,181.5,194.3333333
Winter,181.5,358.8333333
Winter,184.5,193.1666667
Winter,184.5,360.8333333
Winter,187.5,191.8333333
Winter,187.5,362.8333333
Winter,190.5,190.6666667
Winter,190.5,364.8333333
Winter,193.5,189.5
Winter,193.5,367
Winter,196.5,188.3333333
Winter,196.5,369
Winter,199.5,187
Winter,199.5,371.6666667
Winter,202.5,185.8333333
Winter,202.5,374.1666667
Winter,205.5,185.1666667
Winter,205,376.25
Winter,207.5,379.5
Winter,208.5,184.1666667
Winter,210,382
Winter,211.5,183.1666667
Winter,211.5,385.5
Winter,213.5,389.5
Winter,214.5,183
Winter,215,392.5
Winter,216,395.25
Winter,217.5,182.3333333
Winter,217.5,397.8333333
Winter,219.5,400.8333333
Winter,220.5,182
Winter,222.5,403.1666667
Winter,223.5,182
Winter,225.5,406
Winter,226.5,182
Winter,228.5,407.6666667
Winter,229.5,181.8333333
Winter,231.5,409.3333333
Winter,232.5,182
Winter,234.5,410.6666667
Winter,235.5,182.5
Winter,237.5,411.8333333
Winter,238.5,183
Winter,240.5,412.8333333
Winter,241.5,183.8333333
Winter,243.5,414
Winter,244.5,184.6666667
Winter,246.5,415
Winter,247.5,186.1666667
Winter,249.5,415.3333333
Winter,250.5,187.3333333
Winter,252.5,416
Winter,253.5,188.6666667
Winter,255.5,416.8333333
Winter,256.5,190.6666667
Winter,258.5,417.8333333
Winter,259.5,192.8333333
Winter,261.5,418.8333333
Winter,262.5,194.6666667
Winter,264.5,419.6666667
Winter,265.5,196.8333333
Winter,267.5,421.3333333
Winter,268.5,199.3333333
Winter,270.5,422.6666667
Winter,271,201.75
Winter,273.5,204.5
Winter,273.5,424.3333333
Winter,276.5,207.5
Winter,276.5,426.1666667
Winter,279.5,210.5
Winter,279.5,428.3333333
Winter,282.5,213.5
Winter,282.5,430.6666667
Winter,285,217
Winter,285.5,433.5
Winter,287.5,220.5
Winter,288.5,436.5
Winter,290.5,224.5
Winter,291,439
Winter,292.5,228.1666667
Winter,293.5,442.5
Winter,294.8333333,231.8333333
Winter,296,445.25
Winter,297,234.75
Winter,298.5,448
Winter,299,237.25
Winter,301.5,240.5
Winter,301.5,451
Winter,304,244
Winter,304.5,453.5
Winter,305.5,247.1666667
Winter,307.5,455.3333333
Winter,307.8333333,250.8333333
Winter,309.5,253.8333333
Winter,310.5,456.8333333
Winter,312.5,257.5
Winter,312.5,457.5
Winter,314.5,261.5
Winter,316.5,264.8333333
Winter,317.5,459
Winter,318.1666667,268.5
Winter,319.8333333,271.8333333
Winter,320.5,459.75
Winter,321.5,275.1666667
Winter,323.5,460.8333333
Winter,323.8333333,278.8333333
Winter,325,282.25
Winter,326.5,285.1666667
Winter,326.5,461.8333333
Winter,327,288
Winter,328.5,289.5
Winter,329,292.25
Winter,329.5,462.8333333
Winter,330.5,295.1666667
Winter,330.5,297
Winter,332,300
Winter,332.5,464.1666667
Winter,333,303.25
Winter,334,306
Winter,335,309.5
Winter,335.5,465.5
Winter,335.8333333,313.5
Winter,337,317
Winter,337,319.75
Winter,338.1666667,323.8333333
Winter,338.5,466.5
Winter,339,327.75
Winter,340,331
Winter,341,334.25
Winter,341.5,467.8333333
Winter,342.5,337.5
Winter,344.5,468.8333333
Winter,345,341
Winter,346.5,344
Winter,347.5,469.8333333
Winter,349.5,346.6666667
Winter,350.5,471.1666667
Winter,352.5,349.6666667
Winter,353.5,472.1666667
Winter,355,352
Winter,356.5,473.1666667
Winter,357,354.5
Winter,359.5,357.5
Winter,359.5,474
Winter,362.5,360.5
Winter,362.5,474.8333333
Winter,365.5,363
Winter,365.5,475.8333333
Winter,368.5,366
Winter,368.5,476.5
Winter,371.5,367.3333333
Winter,371.5,477.1666667
Winter,374.5,367.8333333
Winter,374.5,477.8333333
Winter,377.5,368.1666667
Winter,377.5,478.6666667
Winter,380.5,368.3333333
Winter,380.5,479.3333333
Winter,383.5,367.8333333
Winter,383.5,480
Winter,386.5,367.1666667
Winter,386.5,480.8333333
Winter,389.5,366.5
Winter,389.5,481.3333333
Winter,392.5,365.6666667
Winter,392.5,482
Winter,395.5,365
Winter,395.5,482.1666667
Winter,398.5,364.1666667
Winter,398.5,482.5
Winter,401.5,363.1666667
Winter,401.5,482.8333333
Winter,404.5,362.5
Winter,404.5,483
Winter,407.5,361.8333333
Winter,407.5,482.8333333
Winter,410.5,361
Winter,410.5,482.1666667
Winter,413.5,360.6666667
Winter,413.5,482
Winter,416.5,360
Winter,416.5,481.5
Winter,419.5,359.6666667
Winter,419.5,481
Winter,422.5,359
Winter,422.5,480.1666667
Winter,425.5,358.6666667
Winter,425.5,479.6666667
Winter,428.5,358
Winter,428.5,478.8333333
Winter,431.5,357.8333333
Winter,431.5,477.8333333
